timestamp,symbol,price
2025-09-21T20:32:34.145897,AAPL,152.29
2025-09-21T20:32:34.156397,AAPL,149.62
2025-09-21T20:32:34.166889,AAPL,153.76
2025-09-21T20:32:34.177218,AAPL,151.46
2025-09-21T20:32:34.187880,AAPL,147.86
2025-09-21T20:32:34.198422,AAPL,151.42
2025-09-21T20:32:34.208634,AAPL,153.67
2025-09-21T20:32:34.219091,AAPL,150.18
2025-09-21T20:32:34.229687,AAPL,153.04
2025-09-21T20:32:34.240481,AAPL,149.71
2025-09-21T20:32:34.250769,AAPL,148.47
2025-09-21T20:32:34.261026,AAPL,149.93
2025-09-21T20:32:34.271713,AAPL,150.31
2025-09-21T20:32:34.282226,AAPL,149.88
2025-09-21T20:32:34.292619,AAPL,150.31
2025-09-21T20:32:34.303085,AAPL,149.89
2025-09-21T20:32:34.313320,AAPL,154.27
2025-09-21T20:32:34.324114,AAPL,154.63
2025-09-21T20:32:34.334609,AAPL,153.48
2025-09-21T20:32:34.345335,AAPL,151.83
2025-09-21T20:32:34.355838,AAPL,152.28
2025-09-21T20:32:34.366490,AAPL,152.74
2025-09-21T20:32:34.376849,AAPL,153.58
2025-09-21T20:32:34.387814,AAPL,154.1
2025-09-21T20:32:34.398098,AAPL,154.58
2025-09-21T20:32:34.408523,AAPL,153.86
2025-09-21T20:32:34.418816,AAPL,154.07
2025-09-21T20:32:34.429241,AAPL,153.1
2025-09-21T20:32:34.439665,AAPL,153.29
2025-09-21T20:32:34.450429,AAPL,151.68
2025-09-21T20:32:34.461012,AAPL,150.3
2025-09-21T20:32:34.471642,AAPL,150.98
2025-09-21T20:32:34.482539,AAPL,151.23
2025-09-21T20:32:34.493138,AAPL,149.32
2025-09-21T20:32:34.503773,AAPL,148.63
2025-09-21T20:32:34.514578,AAPL,146.04
2025-09-21T20:32:34.525012,AAPL,142.93
2025-09-21T20:32:34.535583,AAPL,141.42
2025-09-21T20:32:34.546374,AAPL,142.46
2025-09-21T20:32:34.557175,AAPL,142.96
2025-09-21T20:32:34.567651,AAPL,142.11
2025-09-21T20:32:34.578148,AAPL,143.54
2025-09-21T20:32:34.588773,AAPL,144.95
2025-09-21T20:32:34.599162,AAPL,147.82
2025-09-21T20:32:34.610095,AAPL,146.74
2025-09-21T20:32:34.620673,AAPL,145.11
2025-09-21T20:32:34.631410,AAPL,146.59
2025-09-21T20:32:34.641921,AAPL,147.16
2025-09-21T20:32:34.652502,AAPL,143.93
2025-09-21T20:32:34.663118,AAPL,140.66
2025-09-21T20:32:34.673549,AAPL,140.38
2025-09-21T20:32:34.684145,AAPL,138.54
2025-09-21T20:32:34.694582,AAPL,139.94
2025-09-21T20:32:34.705193,AAPL,140.56
2025-09-21T20:32:34.715717,AAPL,140.32
2025-09-21T20:32:34.726315,AAPL,141.58
2025-09-21T20:32:34.736681,AAPL,142.52
2025-09-21T20:32:34.747486,AAPL,143.08
2025-09-21T20:32:34.758133,AAPL,144.53
2025-09-21T20:32:34.768432,AAPL,144.03
2025-09-21T20:32:34.779044,AAPL,145.62
2025-09-21T20:32:34.790089,AAPL,145.19
2025-09-21T20:32:34.800723,AAPL,146.75
2025-09-21T20:32:34.811224,AAPL,148.3
2025-09-21T20:32:34.821608,AAPL,148.79
2025-09-21T20:32:34.832296,AAPL,147.27
2025-09-21T20:32:34.842973,AAPL,149.01
2025-09-21T20:32:34.853472,AAPL,148.42
2025-09-21T20:32:34.864241,AAPL,145.44
2025-09-21T20:32:34.874603,AAPL,144.82
2025-09-21T20:32:34.885145,AAPL,145.93
2025-09-21T20:32:34.895933,AAPL,147.95
2025-09-21T20:32:34.906848,AAPL,149.71
2025-09-21T20:32:34.917196,AAPL,147.67
2025-09-21T20:32:34.927910,AAPL,147.38
2025-09-21T20:32:34.938301,AAPL,147.14
2025-09-21T20:32:34.948706,AAPL,149.29
2025-09-21T20:32:34.959374,AAPL,147.71
2025-09-21T20:32:34.969711,AAPL,152.66
2025-09-21T20:32:34.980029,AAPL,150.83
2025-09-21T20:32:34.990834,AAPL,152.52
2025-09-21T20:32:35.001698,AAPL,152.18
2025-09-21T20:32:35.012136,AAPL,152.6
2025-09-21T20:32:35.023001,AAPL,150.98
2025-09-21T20:32:35.033532,AAPL,150.49
2025-09-21T20:32:35.044163,AAPL,148.39
2025-09-21T20:32:35.054565,AAPL,144.68
2025-09-21T20:32:35.064892,AAPL,146.97
2025-09-21T20:32:35.075674,AAPL,146.69
2025-09-21T20:32:35.086526,AAPL,145.35
2025-09-21T20:32:35.097014,AAPL,146.65
2025-09-21T20:32:35.108136,AAPL,147.34
2025-09-21T20:32:35.118780,AAPL,145.73
2025-09-21T20:32:35.129160,AAPL,145.61
2025-09-21T20:32:35.139627,AAPL,146.79
2025-09-21T20:32:35.150091,AAPL,149.11
2025-09-21T20:32:35.160928,AAPL,148.18
2025-09-21T20:32:35.171531,AAPL,147.05
2025-09-21T20:32:35.181939,AAPL,144.98
2025-09-21T20:32:35.192480,AAPL,145.33
2025-09-21T20:32:35.203146,AAPL,146.94
2025-09-21T20:32:35.213788,AAPL,145.91
2025-09-21T20:32:35.224348,AAPL,142.42
2025-09-21T20:32:35.235079,AAPL,141.1
2025-09-21T20:32:35.245552,AAPL,143.25
2025-09-21T20:32:35.256105,AAPL,141.46
2025-09-21T20:32:35.266517,AAPL,140.74
2025-09-21T20:32:35.277427,AAPL,141.57
2025-09-21T20:32:35.287802,AAPL,141.78
2025-09-21T20:32:35.298132,AAPL,143.08
2025-09-21T20:32:35.308554,AAPL,145.35
2025-09-21T20:32:35.319172,AAPL,141.39
2025-09-21T20:32:35.329858,AAPL,139.23
2025-09-21T20:32:35.340342,AAPL,140.38
2025-09-21T20:32:35.351250,AAPL,141.41
2025-09-21T20:32:35.362073,AAPL,144.36
2025-09-21T20:32:35.372614,AAPL,145.89
2025-09-21T20:32:35.383259,AAPL,144.35
2025-09-21T20:32:35.393705,AAPL,145.03
2025-09-21T20:32:35.404391,AAPL,143.31
2025-09-21T20:32:35.414747,AAPL,142.48
2025-09-21T20:32:35.425043,AAPL,142.76
2025-09-21T20:32:35.435268,AAPL,142.03
2025-09-21T20:32:35.445742,AAPL,142.35
2025-09-21T20:32:35.456371,AAPL,141.53
2025-09-21T20:32:35.466948,AAPL,145.0
2025-09-21T20:32:35.477410,AAPL,145.86
2025-09-21T20:32:35.488105,AAPL,144.59
2025-09-21T20:32:35.498891,AAPL,142.68
2025-09-21T20:32:35.509443,AAPL,141.18
2025-09-21T20:32:35.519944,AAPL,142.7
2025-09-21T20:32:35.530338,AAPL,140.72
2025-09-21T20:32:35.540783,AAPL,139.01
2025-09-21T20:32:35.551428,AAPL,139.18
2025-09-21T20:32:35.562123,AAPL,140.76
2025-09-21T20:32:35.572798,AAPL,140.22
2025-09-21T20:32:35.583410,AAPL,141.29
2025-09-21T20:32:35.593907,AAPL,142.53
2025-09-21T20:32:35.604229,AAPL,142.33
2025-09-21T20:32:35.614952,AAPL,141.89
2025-09-21T20:32:35.625469,AAPL,141.57
2025-09-21T20:32:35.636143,AAPL,140.29
2025-09-21T20:32:35.646664,AAPL,140.12
2025-09-21T20:32:35.657381,AAPL,141.65
2025-09-21T20:32:35.668159,AAPL,142.79
2025-09-21T20:32:35.678974,AAPL,142.55
2025-09-21T20:32:35.689669,AAPL,142.42
2025-09-21T20:32:35.700127,AAPL,143.52
2025-09-21T20:32:35.710707,AAPL,142.74
2025-09-21T20:32:35.721169,AAPL,142.51
2025-09-21T20:32:35.731786,AAPL,143.12
2025-09-21T20:32:35.742303,AAPL,144.41
